"","X100T","X101T","X110T","X118T","X122T","X14T","X19T","X24T","X33T","X34T","X38T","X41T","X43T","X47T","X49T","X50T","X54T","X55T","X56T","X58T","X61T","X66T","X68T","X70T","X74T","X75T","X78T","X79T","X83T","X85T","X88T","X93T","X96T","X97T","X98T","X99T","Barplot"
"KRAS",NA,"2","2","2",NA,NA,NA,NA,"2",NA,"2","2","2",NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2",NA,"2",13
"LCP1","2","2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2","2",NA,"2",NA,"2",NA,NA,"2","2","2",13
"PCM1","2","2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,"2","2",NA,"2",NA,NA,"2","2","2",13
"PUM3","2","2",NA,NA,NA,"2",NA,"2",NA,NA,NA,"2",NA,NA,"2",NA,NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"2","2",NA,NA,NA,"2","2","2",13
"RTP4",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"2","2","2",NA,"2",NA,NA,"2",NA,NA,"2",NA,NA,NA,"2",NA,"2","2",NA,NA,NA,"2",NA,"2",NA,"2",13
"GMPR","2","2",NA,"2",NA,NA,NA,"2",NA,"2","2",NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,"2",NA,NA,"2",NA,NA,NA,"2",NA,"2",13
"KIAA1549",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2","2","2",NA,NA,NA,NA,"2","2",NA,"2",NA,NA,NA,NA,"2",NA,"2","2",NA,"2",NA,NA,NA,"2",12
"MAP3K1",NA,"2",NA,"2",NA,"2","2",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,"2","2",NA,NA,NA,NA,"2","2","2",12
"PML","2","2",NA,NA,NA,"2","2",NA,NA,"2","2",NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"2","2",NA,12
"SALL4",NA,"2",NA,NA,NA,NA,NA,"2","2","2","2","2",NA,NA,NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,"2",NA,"2",12
"SETBP1","2","2","2","2",NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2","2",NA,"2",NA,NA,"2",NA,12
"TET2","2","2",NA,NA,NA,"2",NA,NA,NA,"2",NA,"2","2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,"2",NA,NA,"2",NA,NA,NA,"4","2",NA,NA,12
"TNFRSF14","2","2",NA,NA,"2","2",NA,NA,"2",NA,NA,NA,"2",NA,NA,"2",NA,NA,NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"2","2","2",12
"CAND2",NA,NA,"2","2",NA,"2",NA,"2",NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,"2","2","2",12
"CASP8",NA,"2",NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,"2",NA,"2",NA,NA,NA,NA,"2","2","2",11
"CCDC6","2",NA,NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,NA,"2",NA,"2","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,"2","2",11
"EML4","2","2",NA,NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,"2",NA,"2",NA,NA,"2",NA,"2",11
"HIP1R",NA,"2",NA,NA,"2","2","2",NA,NA,NA,NA,NA,"2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"2",NA,NA,NA,NA,"2","2",11
"IL7R","2","2",NA,"2",NA,NA,"2",NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,"2",NA,"2",11
"KDR","2","2","2","2",NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,"2",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"2",NA,"2",11
"KMT2C","2",NA,NA,"2","2","2","2",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2",11
"MEN1","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"2","2",NA,"2","2",NA,"2",NA,NA,"2","2",11
