Sample_ID	Exp_level	Cancer_type	Tissue_type
TCGA-BH-A1FB-11A-33R-A13Q-07	2.81694878891216	BRCA	Normal
TCGA-GE-A2C6-11A-11R-A16R-07	7.80621624247727	THCA	Normal
TCGA-C5-A1BN-01B-11R-A14Y-07	1.2877140489441	CESC	Cancer
TCGA-ZG-A9NI-01A-11R-A41O-07	0.608234442840354	PRAD	Cancer
TCGA-FR-A7U9-06A-11R-A352-07	10.2456551281959	SKCM	Cancer
TCGA-CZ-5467-01A-01R-1503-07	5.42907076458404	KIRC	Cancer
TCGA-EJ-7791-01A-11R-2118-07	1.44946688699799	PRAD	Cancer
TCGA-B3-8121-01A-21R-2404-07	7.90905552443666	KIRP	Cancer
TCGA-BJ-A0ZG-01A-11R-A10U-07	2.78621916246917	THCA	Cancer
TCGA-V1-A8WL-01A-11R-A37L-07	2.29283266058269	PRAD	Cancer
TCGA-HW-8322-01A-11R-2404-07	0.475542979299043	LGG	Cancer
TCGA-DJ-A2QA-01A-11R-A18C-07	0.869719090103736	THCA	Cancer
TCGA-DA-A1I0-06A-11R-A20F-07	3.53411655794767	SKCM	Cancer
TCGA-OR-A5KO-01A-11R-A29S-07	0.184476040836605	ACC	Cancer
TCGA-BQ-5879-01A-11R-1592-07	1.62814641950104	KIRP	Cancer
TCGA-UC-A7PG-06A-11R-A42S-07	5.94253250282055	CESC	Cancer
TCGA-55-5899-01A-11R-1628-07	7.24651008487894	LUAD	Cancer
TCGA-B5-A11P-01B-11R-A14D-07	0.816823512622139	UCEC	Cancer
TCGA-HD-7229-01A-11R-2016-07	9.77669846945097	HNSC	Cancer
TCGA-VS-A94Y-01A-11R-A38B-07	5.01332409016552	CESC	Cancer
TCGA-C5-A2LV-01A-11R-A18M-07	6.09454573083806	CESC	Cancer
TCGA-B2-3923-01A-02R-A277-07	1.61192779209388	KIRC	Cancer
TCGA-A8-A08G-01A-11R-A00Z-07	1.16475767904471	BRCA	Cancer
TCGA-DJ-A13U-01A-11R-A10U-07	1.23444111006486	THCA	Cancer
TCGA-56-7580-01A-11R-2045-07	1.95111781682098	LUSC	Cancer
TCGA-AA-3971-01A-01R-1022-07	3.50191149182969	COAD	Cancer
TCGA-DH-A7UU-01A-12R-A34F-07	0.157248761886306	LGG	Cancer
TCGA-D3-A1Q8-06A-11R-A18T-07	1.41260954797639	SKCM	Cancer
TCGA-BR-8291-01A-11R-2343-13	5.63111059367363	STAD	Cancer
TCGA-AX-A1CI-01A-11R-A137-07	0.424805748895987	UCEC	Cancer
TCGA-CJ-4908-01A-01R-1426-07	11.0423222875594	KIRC	Cancer
TCGA-44-2659-01A-01R-0946-07	6.23453797967532	LUAD	Cancer
TCGA-FG-5965-02A-11R-A29R-07	0.448758412333689	LGG	Cancer
TCGA-AP-A0LO-01A-11R-A040-07	0.555452457787493	UCEC	Cancer
TCGA-AB-2849-03A-01T-0734-13	8.99752834139386	LAML	Cancer
TCGA-AL-A5DJ-01A-11R-A26U-07	8.85629821472797	KIRP	Cancer
TCGA-BR-A4CR-01A-11R-A24K-31	0.730510477081616	STAD	Cancer
TCGA-AO-A0JM-01A-21R-A056-07	0.865592076291361	BRCA	Cancer
TCGA-90-7767-11A-01R-2125-07	8.61018580994761	LUSC	Normal
TCGA-BR-4367-01A-01R-1157-13	5.73491986207527	STAD	Cancer
TCGA-G3-A3CH-01A-11R-A22L-07	2.99732722395523	LIHC	Cancer
TCGA-BH-A0BW-11A-12R-A115-07	9.96651448372022	BRCA	Normal
TCGA-AG-3612-01A-01R-0826-07	1.89642260841523	READ	Cancer
TCGA-AA-3519-01A-02R-0821-07	1.27325321043049	COAD	Cancer
TCGA-DD-AAE6-01A-11R-A41C-07	0.296796157971468	LIHC	Cancer
TCGA-AB-2884-03A-01T-0735-13	5.12513151674727	LAML	Cancer
TCGA-BR-A4QI-01A-12R-A251-31	1.96723064077346	STAD	Cancer
TCGA-E2-A1BC-11A-32R-A12P-07	1.87785308781652	BRCA	Normal
TCGA-B0-4822-01A-01R-1277-07	7.53819038120427	KIRC	Cancer
TCGA-FC-7961-01A-11R-A29R-07	1.57033067512523	PRAD	Cancer
TCGA-AR-A5QN-01A-12R-A28M-07	1.86656672305269	BRCA	Cancer
TCGA-E2-A1LB-01A-11R-A144-07	0.418067450769734	BRCA	Cancer
TCGA-32-4213-01A-01R-1850-01	10.2526554169773	GBM	Cancer
TCGA-DB-A64S-01A-11R-A29R-07	0.28090456472193	LGG	Cancer
TCGA-CV-5978-01A-11R-1686-07	2.10664351447217	HNSC	Cancer
TCGA-24-1551-01A-01R-1566-13	4.81977328121797	OV	Cancer
TCGA-AA-3680-01A-01R-0905-07	2.1525656874093	COAD	Cancer
TCGA-BC-A216-11A-11R-A155-07	3.07671961196333	LIHC	Normal
TCGA-37-5819-01A-01R-1635-07	3.88217080519627	LUSC	Cancer
TCGA-E2-A14T-01A-11R-A115-07	0.547204793357796	BRCA	Cancer
TCGA-B9-4113-01A-01R-1193-07	3.33802870773326	KIRP	Cancer
TCGA-EL-A3CN-01A-12R-A20F-07	4.70866344549736	THCA	Cancer
TCGA-A6-3809-01A-01R-1022-07	10.4724706331635	COAD	Cancer
TCGA-WQ-AB4B-01A-11R-A41C-07	0.722903895565193	LIHC	Cancer
TCGA-KK-A7B4-01A-11R-A32O-07	1.56444493507663	PRAD	Cancer
TCGA-FM-8000-01A-11R-2213-07	4.43683132132133	DLBC	Cancer
TCGA-FD-A3B4-01A-12R-A206-07	12.8731598244581	BLCA	Cancer
TCGA-G6-A8L6-01A-11R-A37O-07	9.62178432352889	KIRC	Cancer
TCGA-HC-8259-01A-11R-2263-07	0.389221343518429	PRAD	Cancer
TCGA-CJ-4634-01A-02R-1325-07	4.27200430923308	KIRC	Cancer
TCGA-B9-7268-01A-11R-A32Z-07	0.450937549094151	KIRP	Cancer
TCGA-G7-6795-01A-11R-1965-07	4.75167943172691	KIRP	Cancer
TCGA-TQ-A7RS-01A-12R-A33Z-07	0.107060565578252	LGG	Cancer
TCGA-VQ-A8E0-01A-11R-A414-31	1.07035558495704	STAD	Cancer
TCGA-AA-3518-01A-02R-0826-07	7.88045994227343	COAD	Cancer
TCGA-VQ-A91S-01A-11R-A414-31	6.57094984675843	STAD	Cancer
TCGA-50-6597-01A-11R-1858-07	1.96976465036268	LUAD	Cancer
TCGA-C8-A132-01A-31R-A115-07	5.1817896146364	BRCA	Cancer
TCGA-EJ-A46H-01A-31R-A26U-07	3.42905352241717	PRAD	Cancer
TCGA-HG-A2PA-01A-11R-A213-07	14.3749808993062	CESC	Cancer
TCGA-66-2785-01A-01R-0851-07	19.6144935862926	LUSC	Cancer
TCGA-33-4587-01A-11R-2125-07	0.959534423851279	LUSC	Cancer
TCGA-HC-8260-01A-11R-2263-07	1.38702920876165	PRAD	Cancer
TCGA-FG-8189-01B-11R-A28M-07	0.0770424615210926	LGG	Cancer
TCGA-FG-7638-01B-12R-2090-07	0.500594051172698	LGG	Cancer
TCGA-69-7760-01A-11R-2170-07	0.488305371600009	LUAD	Cancer
TCGA-18-5595-01A-01R-1635-07	1.69311384593359	LUSC	Cancer
TCGA-04-1361-01A-01R-1565-13	1.4465541054524	OV	Cancer
TCGA-J8-A4HY-01A-11R-A250-07	1.68997219162597	THCA	Cancer
TCGA-KN-8431-01A-11R-2315-07	2.60613017721543	KICH	Cancer
TCGA-EW-A3U0-01A-11R-A22K-07	16.3306537695298	BRCA	Cancer
TCGA-E1-5311-01A-01R-1470-07	0.343676929459	LGG	Cancer
TCGA-CZ-5989-11A-01R-1672-07	1.20170696213077	KIRC	Normal
TCGA-55-8089-01A-11R-2241-07	51.4564689697398	LUAD	Cancer
TCGA-14-1829-01A-01R-1850-01	2.96175322077389	GBM	Cancer
TCGA-DM-A282-01A-12R-A16W-07	0.388140741662857	COAD	Cancer
TCGA-21-1083-01A-01R-0692-07	9.10753513016593	LUSC	Cancer
TCGA-28-5207-01A-01R-1850-01	1.99944672248497	GBM	Cancer
TCGA-VQ-A8PC-01A-11R-A39E-31	2.9901621450217	STAD	Cancer
TCGA-EW-A1PB-01A-11R-A144-07	20.9805692535746	BRCA	Cancer
TCGA-D3-A2JO-06A-11R-A18S-07	36.0174394064701	SKCM	Cancer
TCGA-HT-A74L-01A-11R-A32Q-07	0.0552887743302167	LGG	Cancer
TCGA-CM-4746-01A-01R-1410-07	1.70085427022872	COAD	Cancer
TCGA-AJ-A3BF-01A-11R-A213-07	1.50486458188914	UCEC	Cancer
